날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-09-08","감자양파찌개(05)(06)","70.03kcal","감자짜글이(05)(06)(10)","119.3kcal","대구매운탕(05)(06)","99.65kcal","","","2843.15kcal"
"2021-09-08","조미김","0kcal","생선가스(01)(06)","522.6kcal","쇠고기배추볶음(05)(06)(16)","115.67kcal","","","2843.15kcal"
"2021-09-08","돈육표고장조림(05)(06)(10)","223.92kcal","양배추샐러드","11.68kcal","스크램블에그(01)","118.53kcal","","","2843.15kcal"
"2021-09-08","오징어실채무침(06)(12)(17)","123.68kcal","배추김치(7~9월)","9.5kcal","열무김치","12.8kcal","","","2843.15kcal"
"2021-09-08","배추김치(7~9월)","9.5kcal","아이스크림, 떠먹는형","180kcal","","","","","2843.15kcal"
"2021-09-08","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2843.15kcal"
"2021-09-09","마파두부덮밥(05)(06)(10)","765.96kcal","햄치즈버거(01)(02)(06)(10)(12)","829.47kcal","잡곡밥","378.29kcal","","","3393.09kcal"
"2021-09-09","콩나물국(05)","12.86kcal","감자튀김","444.61kcal","들깨미역국(05)","90.32kcal","","","3393.09kcal"
"2021-09-09","생선묵고추장볶음(05)(06)","156.32kcal","크림수프","0kcal","닭갈비(05)(06)(15)","306.55kcal","","","3393.09kcal"
"2021-09-09","배추김치(7~9월)","9.5kcal","우유(백색우유(200ML,연간))(02)","244kcal","상추/깻잎쌈(05)(06)","68.09kcal","","","3393.09kcal"
"2021-09-09","","","","","백김치","15.12kcal","","","3393.09kcal"
"2021-09-09","","","","","멜론(여름)","72kcal","","","3393.09kcal"
"2021-09-10","밥","363kcal","주꾸미비빔밥(05)(06)","607.1kcal","밥","363kcal","","","2669.55kcal"
"2021-09-10","돼지고기김치찌개(05)(06)(10)","75.6kcal","쇠고기미역국(05)(16)","29.49kcal","생선묵국(05)(06)","63.95kcal","","","2669.55kcal"
"2021-09-10","비엔나소시지야채볶음(10)","169.82kcal","순두부양념장(추가)(05)(06)","72.07kcal","떡볶이(05)(06)","286.08kcal","","","2669.55kcal"
"2021-08-11","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","2735.65kcal"
"2021-08-12","밥","363kcal","새우버거(01)(06)(09)(12)","949.94kcal","밥","363kcal","","","3207.62kcal"
"2021-08-12","전복미역국(05)(18)","39.72kcal","감자튀김","416.88kcal","닭고기육개장(05)(06)(15)","224.92kcal","","","3207.62kcal"
"2021-08-12","두부김치(05)(06)(10)","365.53kcal","크림수프","0kcal","두부매운조림(05)(06)","119.44kcal","","","3207.62kcal"
"2021-08-12","고추참치","77kcal","영양바","","오이무침","19.49kcal","","","3207.62kcal"
"2021-08-12","깍두기(완제품)(09)","15.2kcal","우유(백색우유(200ML,연간))(02)","244kcal","배추김치(7~9월)","9.5kcal","","","3207.62kcal"
"2021-08-13","밥","363kcal","찰보리밥","386.7kcal","찰보리밥","386.7kcal","","","2970.06kcal"
"2021-08-13","감자짜글이(05)(06)(10)","125.44kcal","해물강된장(05)(06)(18)","181.59kcal","감자호박국(05)(09)","32.16kcal","","","2970.06kcal"
"2021-08-13","쇠고기오이볶음(05)(06)(16)","104.65kcal","돼지불고기(05)(06)(10)","423.74kcal","두부김치(05)(06)(10)","365.53kcal","","","2970.06kcal"
"2021-08-13","콩나물매운무침(05)(06)","32.07kcal","양배추쌈","11.64kcal","조기순살튀김(06)","356.64kcal","","","2970.06kcal"
"2021-08-13","배추김치(7~9월)","9.5kcal","배추김치(7~9월)","9.5kcal","깍두기(완제품)(09)","15.2kcal","","","2970.06kcal"
"2021-08-13","우유(백색우유(200ML,연간))(02)","122kcal","감귤 주스(340㎖/ 페트)","44kcal","","","","","2970.06kcal"
"2021-08-14","핫도그빵(01)(06)(10)(12)","772.51kcal","계란볶음밥(01)","530.34kcal","잡곡밥","378.29kcal","","","2942.03kcal"
"2021-08-14","멜론(여름)","72kcal","돼지고기김치찌개(05)(06)(10)","76.44kcal","쇠고기미역국(05)(16)","35.99kcal","","","2942.03kcal"
"2021-08-14","우유(백색우유(200ML,연간))(02)","244kcal","미트볼양념조림(01)(05)(06)(10)","438.38kcal","순두부양념장(추가)(05)(06)","72.07kcal","","","2942.03kcal"
"2021-08-14","과일푸딩","126kcal","배추김치(7~9월)","9.5kcal","매콤닭무침(05)(06)(15)","177.01kcal","","","2942.03kcal"
"2021-08-14","","","","","배추김치(7~9월)","9.5kcal","","","2942.03kcal"
"2021-08-15","산채비빔밥(05)(06)(16)","502.33kcal","찹쌀밥","391.72kcal","밥","363kcal","","","2432.07kcal"
"2021-08-15","쇠고기무국(05)(16)","43.12kcal","두부고추장찌개(05)(06)(10)","98.99kcal","조개국(01)(05)","51.45kcal","","","2432.07kcal"
"2021-08-15","스크램블에그(01)","125.54kcal","쇠고기새송이버섯볶음(05)(06)(16)","172.45kcal","돼지고기부추볶음(05)(06)(10)","391.66kcal","","","2432.07kcal"
"2021-08-15","배추김치(7~9월)","9.5kcal","감자매운조림(05)(06)","102.63kcal","양배추샐러드","12.68kcal","","","2432.07kcal"
"2021-08-15","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.5kcal","배추김치(7~9월)","9.5kcal","","","2432.07kcal"
"2021-08-15","","","","","망고 주스(180㎖/캔)","26kcal","","","2432.07kcal"
"2021-08-16","밥","363kcal","김치볶음밥(10)","538.75kcal","밥","363kcal","","","2806.88kcal"
"2021-08-16","부대찌개(05)(06)(10)","156.12kcal","계란국(01)(05)","90.61kcal","쇠고기미역국(05)(16)","35.99kcal","","","2806.88kcal"
"2021-08-16","쇠고기배추볶음(05)(06)(16)","105.8kcal","비엔나소시지구이(10)","218.6kcal","생선묵고추장볶음(05)(06)","156.32kcal","","","2806.88kcal"
"2021-08-16","조미김","0kcal","깍두기(완제품)(09)","15.2kcal","갈치튀김(06)","305.79kcal","","","2806.88kcal"
"2021-08-16","고추참치","77kcal","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.5kcal","","","2806.88kcal"
"2021-08-16","깍두기(완제품)(09)","15.2kcal","","","아이스크림 팩형(02)","234kcal","","","2806.88kcal"
"2021-08-17","밥","363kcal","비빔냉면(03)(06)","906.4kcal","현미밥","397.49kcal","","","3077.31kcal"
"2021-08-17","매운버섯국(05)(06)","44.06kcal","치킨텐더(01)(06)(15)","553.98kcal","짬뽕찌개(05)(06)(17)","88.67kcal","","","3077.31kcal"
"2021-08-17","조미김","0kcal","삶은계란(01)","70.28kcal","쇠고기새송이버섯볶음(05)(06)(16)","172.45kcal","","","3077.31kcal"
"2021-08-17","궁중닭찜(05)(06)(15)","229.82kcal","열무김치","12.8kcal","콩나물무침(05)","31.04kcal","","","3077.31kcal"
"2021-08-17","오이파프리카무침(05)(06)","12.32kcal","건강담은 야채가득음료 V19","54kcal","배추김치(7~9월)","9.5kcal","","","3077.31kcal"
"2021-08-17","배추김치(7~9월)","9.5kcal","","","","","","","3077.31kcal"
"2021-08-17","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3077.31kcal"
"2021-08-18","밥","363kcal","흑미밥","381.75kcal","밥","363kcal","","","3075.82kcal"
"2021-08-18","쇠고기무국(05)(16)","43.12kcal","감자탕(김치)(05)(06)(10)","406.38kcal","어묵콩나물국(05)(06)(09)","60.89kcal","","","3075.82kcal"
"2021-08-18","꽈리고추멸치볶음(05)(06)","82.57kcal","햄감자채볶음(10)","73.63kcal","닭강정(01)(06)(15)","627.93kcal","","","3075.82kcal"
"2021-08-18","돈육표고장조림(05)(06)(10)","235.97kcal","오이양파장아찌(05)(06)","28.37kcal","조미김","0kcal","","","3075.82kcal"
"2021-08-18","배추김치(7~9월)","9.5kcal","백김치","15.12kcal","감자샐러드(01)","172.09kcal","","","3075.82kcal"
"2021-08-18","우유(백색우유(200ML,연간))(02)","122kcal","복숭아 주스(340㎖/캔)","81kcal","배추김치(7~9월)","9.5kcal","","","3075.82kcal"
"2021-08-19","마파두부덮밥(05)(06)(10)","816.21kcal","잡곡밥","378.29kcal","짬뽕밥(05)(06)(10)(17)","630.82kcal","","","3264.62kcal"
"2021-08-19","버섯육개장(05)(06)","46.42kcal","두부김치국(05)","28.59kcal","야채튀김(01)(06)(12)","413.19kcal","","","3264.62kcal"
"2021-08-19","오징어채간장볶음(01)(05)(06)(17)","97.88kcal","닭고기감자조림(05)(06)(15)","273.03kcal","계란찜(01)(09)","88.49kcal","","","3264.62kcal"
"2021-08-19","배추김치(7~9월)","9.5kcal","열무된장무침(05)(06)","33.8kcal","깍두기(완제품)(09)","15.2kcal","","","3264.62kcal"
"2021-08-19","우유(백색우유(200ML,연간))(02)","122kcal","깍두기(완제품)(09)","15.2kcal","딸기맛우유(3사교)","116kcal","","","3264.62kcal"
"2021-08-19","","","","","팥빙수","180kcal","","","3264.62kcal"
"2021-08-20","밥","363kcal","하이라이스(01)(05)(06)(10)","981.76kcal","밥","363kcal","","","2804.72kcal"
"2021-08-20","쇠고기감자국(05)(16)","53.43kcal","광어매운탕(05)(06)","123.25kcal","돼지고기김치찌개(05)(06)(10)","76.44kcal","","","2804.72kcal"
"2021-08-20","소시지야채볶음(05)(06)(10)","233.71kcal","야채샐러드(01)(12)","107.98kcal","오징어볶음(05)(06)(17)","216.82kcal","","","2804.72kcal"
"2021-08-20","버섯호박볶음(05)(06)(09)","45.81kcal","배추김치(7~9월)","9.5kcal","조미김","0kcal","","","2804.72kcal"
"2021-08-20","조미김","0kcal","","","모듬야채(쌈장)(05)(06)","63.02kcal","","","2804.72kcal"
"2021-08-20","배추김치(7~9월)","9.5kcal","","","배추김치(7~9월)","9.5kcal","","","2804.72kcal"
"2021-08-20","우유(백색우유(200ML,연간))(02)","122kcal","","","망고 주스(180㎖/캔)","26kcal","","","2804.72kcal"
"2021-08-21","불고기버거(01)(06)(10)(12)","798.14kcal","닭고기덮밥(01)(05)(06)(15)","684.12kcal","밥","363kcal","","","3102.50kcal"
"2021-08-21","포도,신선형(포도(811월))","47.61kcal","순두부해물찌개(01)(05)(17)","96.51kcal","아귀탕(05)(06)","81.13kcal","","","3102.50kcal"
"2021-08-21","소시지","251kcal","단무지무침","19.09kcal","두부김치(05)(06)(10)","365.53kcal","","","3102.50kcal"
"2021-08-21","농후 발효유(02)","96kcal","열무김치","12.8kcal","오이양파장아찌(05)(06)","28.37kcal","","","3102.50kcal"
"2021-08-21","우유(백색우유(200ML,연간))(02)","244kcal","","","깍두기(완제품)(09)","15.2kcal","","","3102.50kcal"
"2021-08-22","삼겹살간장덮밥(01)(05)(06)(10)","873.95kcal","찰보리밥","386.7kcal","밥","363kcal","","","3048.06kcal"
"2021-08-22","콩나물김치국(05)","16.18kcal","쇠고기호박찌개(05)(06)(16)","107.62kcal","부대찌개(05)(06)(10)","156.12kcal","","","3048.06kcal"
"2021-08-22","멸치매운양념조림(05)(06)","71.56kcal","돼지고기고추장볶음(05)(06)(10)","448.38kcal","쇠고기새송이버섯볶음(05)(06)(16)","172.45kcal","","","3048.06kcal"
"2021-08-22","백김치","15.12kcal","배추된장무침(05)(06)","40.61kcal","순두부양념장(추가)(05)(06)","72.07kcal","","","3048.06kcal"
"2021-08-22","우유(백색우유(200ML,연간))(02)","122kcal","열무김치","12.8kcal","배추김치(7~9월)","9.5kcal","","","3048.06kcal"
"2021-08-22","","","감귤 주스(180㎖/병)","180kcal","","","","","3048.06kcal"
"2021-08-23","밥","363kcal","치킨마요덮밥(01)(05)(06)","930.39kcal","찹쌀밥","391.72kcal","","","2710.51kcal"
"2021-08-23","쇠고기미역국(05)(16)","35.99kcal","두부김치국(05)","28.59kcal","매운버섯국(05)(06)","44.06kcal","","","2710.51kcal"
"2021-08-23","코다리조림(05)(06)","104.61kcal","오이고추장무침(06)","21.71kcal","낙지볶음(05)(06)","239.08kcal","","","2710.51kcal"
"2021-08-23","콩나물매운무침(05)(06)","32.07kcal","배추김치(7~9월)","9.5kcal","김자반","43kcal","","","2710.51kcal"
"2021-08-23","열무김치","12.8kcal","","","계란찜(01)(09)","88.49kcal","","","2710.51kcal"
"2021-08-23","우유(백색우유(200ML,연간))(02)","122kcal","","","배추김치(7~9월)","9.5kcal","","","2710.51kcal"
"2021-08-23","","","","","아이스크림 팩형(02)","234kcal","","","2710.51kcal"
"2021-08-24","밥","363kcal","물냉면(03)(06)","897.6kcal","현미밥","397.49kcal","","","3428.20kcal"
"2021-08-24","돼지고기김치찌개(05)(06)(10)","76.44kcal","돼지불고기(05)(06)(10)","423.74kcal","짬뽕찌개(05)(06)(17)","88.67kcal","","","3428.20kcal"
"2021-08-24","궁중닭찜(05)(06)(15)","229.82kcal","삶은계란(01)","70.28kcal","탕수육(완제품용)(05)(06)(10)(12)","480.44kcal","","","3428.20kcal"
"2021-08-24","무생채","27.43kcal","열무김치","12.8kcal","단무지무침","19.09kcal","","","3428.20kcal"
"2021-08-24","배추김치(7~9월)","9.5kcal","바나나맛우유(02)","200.4kcal","배추김치(7~9월)","9.5kcal","","","3428.20kcal"
"2021-08-24","우유(백색우유(200ML,연간))(02)","122kcal","","","","","","","3428.20kcal"
"2021-08-25","밥","363kcal","잡채밥(05)(06)(10)","680.93kcal","찹쌀밥","391.72kcal","","","3085.00kcal"
"2021-08-25","닭곰탕(05)(15)","180.94kcal","해물짬뽕찌개(05)(06)(17)(18)","104.37kcal","해물강된장(05)(06)(18)","181.59kcal","","","3085.00kcal"
"2021-08-25","조미김","0kcal","가지튀김(06)","213.05kcal","삼겹살구이(05)(06)(10)","544.95kcal","","","3085.00kcal"
"2021-08-25","두부매운조림(05)(06)","119.44kcal","깍두기(완제품)(09)","15.2kcal","양배추쌈","11.64kcal","","","3085.00kcal"
"2021-08-25","무나물(05)(06)","52.87kcal","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.5kcal","","","3085.00kcal"
"2021-08-25","열무김치","12.8kcal","","","복숭아 주스(340㎖/캔)","81kcal","","","3085.00kcal"
"2021-08-26","김치덮밥(05)(06)(10)","622.14kcal","비빔밥(05)(06)(16)","648.55kcal","햄치즈버거(01)(02)(06)(10)(12)","830.5kcal","","","3171.71kcal"
"2021-08-26","황태채미역국(05)","8.9kcal","순두부찌개(01)(05)(06)(10)","128.02kcal","감자튀김","416.88kcal","","","3171.71kcal"
"2021-08-26","호박쇠고기볶음(05)(06)(16)","119.18kcal","스크램블에그(01)","125.54kcal","우유(백색우유(200ML,연간))(02)","244kcal","","","3171.71kcal"
"2021-08-26","깍두기(완제품)(09)","15.2kcal","크림수프","0kcal","","","","","3171.71kcal"
"2021-08-26","","","열무김치","12.8kcal","","","","","3171.71kcal"
"2021-07-28","호박쇠고기볶음(05)(06)(16)","73.78kcal","낙지볶음(05)(06)","232.22kcal","삼겹살구이(05)(06)(10)","578.36kcal","","","2824.49kcal"
"2021-07-28","비엔나소시지구이(10)","218.6kcal","계란찜(01)(09)","88.49kcal","양배추쌈","11.64kcal","","","2824.49kcal"
"2021-07-28","조미김","0kcal","배추김치(7~9월)","9.63kcal","배추김치(7~9월)","9.63kcal","","","2824.49kcal"
"2021-07-28","배추김치(7~9월)","9.63kcal","우유(백색우유(200ML,연간))(02)","122kcal","주스,카프리썬 오렌지(200ml,파우치)","60kcal","","","2824.49kcal"
"2021-07-28","매일두유 초콜릿 190ml","","","","","","","","2824.49kcal"
"2021-07-29","밥","363kcal","물냉면(03)(06)","897.6kcal","햄치즈버거(01)(02)(06)(10)(12)","1274.81kcal","","","3685.13kcal"
"2021-07-29","매운버섯국(05)(06)","43.9kcal","삶은계란(01)","70.28kcal","우유(백색우유(200ML,연간))(02)","244kcal","","","3685.13kcal"
"2021-07-29","돼지고기고추장볶음(05)(06)(10)","464.84kcal","골뱅이무침","120.33kcal","","","","","3685.13kcal"
"2021-07-29","순두부양념장(05)(06)","61.27kcal","무생채","26.8kcal","","","","","3685.13kcal"
"2021-07-29","배추김치(7~9월)","9.63kcal","오이소박이","20.35kcal","","","","","3685.13kcal"
"2021-07-29","","","수박","88.32kcal","","","","","3685.13kcal"
"2021-07-30","밥","363kcal","잡곡밥","376.35kcal","마파두부덮밥(05)(06)(10)","836.3kcal","","","3137.68kcal"
"2021-07-30","꼬리곰탕","383.42kcal","순두부해물찌개(01)(05)(17)","98.14kcal","콩나물국(05)","12.86kcal","","","3137.68kcal"
"2021-07-30","감자매운조림(05)(06)","102.63kcal","돈가스(06)(10)","534.51kcal","갑오징어야채무침(06)(17)","109.58kcal","","","3137.68kcal"
"2021-07-30","오이양파장아찌(05)(06)","28.37kcal","야채샐러드(01)(12)","118.51kcal","배추김치(7~9월)","9.63kcal","","","3137.68kcal"
"2021-07-30","깍두기(임가공)","28.75kcal","배추김치(7~9월)","9.63kcal","과일푸딩","126kcal","","","3137.68kcal"
"2021-07-30","달콤한베지밀비 190ml","","","","","","","","3137.68kcal"
"2021-07-31","밥","363kcal","찹쌀밥","391.72kcal","닭고기덮밥(01)(05)(06)(15)","703.11kcal","","","2878.04kcal"
"2021-07-31","조개국(01)(05)","51.45kcal","부대찌개(05)(06)(10)","157.7kcal","콩나물무채국(05)","22.65kcal","","","2878.04kcal"
"2021-07-31","호박쇠고기볶음(05)(06)(16)","73.78kcal","돼지불고기(05)(06)(10)","452.35kcal","멸치매운양념조림(05)(06)","71.56kcal","","","2878.04kcal"
"2021-07-31","고등어김치조림(05)(06)(07)","169.34kcal","모듬야채(쌈장)(05)(06)","63.02kcal","배추김치(7~9월)","9.63kcal","","","2878.04kcal"
"2021-07-31","총각김치","16.4kcal","배추김치(7~9월)","9.63kcal","","","","","2878.04kcal"
"2021-07-31","바나나맛우유(02)","200.4kcal","주스,망고코넛(340ml/캔)","122.3kcal","","","","","2878.04kcal"
"2021-08-01","김치덮밥(05)(06)(10)","622.14kcal","찰보리밥","386.7kcal","밥","363kcal","","","2644.15kcal"
"2021-08-01","쇠고기무국(05)(16)","43.12kcal","감자양파찌개(05)(06)","68.91kcal","생선묵국(05)(06)","64.45kcal","","","2644.15kcal"
"2021-08-01","순두부양념장(05)(06)","61.27kcal","새송이버섯야채볶음(05)(06)","51.27kcal","닭볶음탕(05)(06)(15)","249.12kcal","","","2644.15kcal"
"2021-08-01","깍두기(완제품)(09)","15.2kcal","쇠고기불고기(05)(06)(16)","309.48kcal","조미김","0kcal","","","2644.15kcal"
"2021-08-01","우유(백색우유(200ML,연간))(02)","122kcal","배추김치(7~9월)","9.5kcal","오이무침","19.49kcal","","","2644.15kcal"
"2021-08-01","","","","","배추김치(7~9월)","9.5kcal","","","2644.15kcal"
"2021-08-01","","","","","건빵(야채맛)","249kcal","","","2644.15kcal"
"2021-08-02","밥","363kcal","잡곡밥","378.29kcal","밥","363kcal","","","2638.14kcal"
"2021-08-02","버섯쇠고기찌개(05)(06)(16)","96.02kcal","생선묵국(05)(06)","64.45kcal","감자양파찌개(05)(06)","68.91kcal","","","2638.14kcal"
"2021-08-02","햄야채볶음(01)(10)","145.49kcal","오이파프리카무침(05)(06)","12.32kcal","표고버섯돼지고기볶음(05)(06)(10)","405.77kcal","","","2638.14kcal"
"2021-08-02","무생채","27.43kcal","데리야끼치킨(05)(06)(12)(15)","241.75kcal","조미김","0kcal","","","2638.14kcal"
"2021-08-02","가공우유(초코맛)(02)","126kcal","배추김치(7~9월)","9.5kcal","양파/고추/쌈장(05)(06)","56.57kcal","","","2638.14kcal"
"2021-08-02","배추김치(7~9월)","9.5kcal","","","양배추쌈","11.64kcal","","","2638.14kcal"
"2021-08-02","","","","","배추김치(7~9월)","9.5kcal","","","2638.14kcal"
"2021-08-02","","","","","건빵(참깨맛)","249kcal","","","2638.14kcal"
"2021-08-03","밥","363kcal","현미밥","397.49kcal","밥","363kcal","","","3110.33kcal"
